symbol,source,baseVolume,volumeMiniMove,priceMiniMove
bcx_btc,okex,10,0.1,0.00000001
mana_btc,okex,10,0.01,0.00000001
rcn_btc,okex,10,0.01,0.00000001
mana_eth,okex,10,0.01,0.00000001
mana_usdt,okex,10,0.01,0.0001
vee_btc,okex,10,0.01,0.00000001
vee_eth,okex,10,0.01,0.00000001
vee_usdt,okex,10,0.01,0.0001
tnb_btc,okex,10,0.01,0.00000001
tnb_eth,okex,10,0.01,0.00000001
tnb_usdt,okex,10,0.01,0.0001
amm_btc,okex,1,0.001,0.00000001
amm_eth,okex,1,0.001,0.00000001
amm_usdt,okex,1,0.001,0.0001
knc_btc,okex,1,0.001,0.00000001
knc_eth,okex,1,0.001,0.00000001
knc_usdt,okex,1,0.001,0.0001
dat_eth,okex,10,0.01,0.00000001
dat_btc,okex,10,0.01,0.00000001
dat_usdt,okex,10,0.01,0.0001
gnx_btc,okex,1,0.001,0.00000001
gnx_eth,okex,1,0.001,0.00000001
gnx_usdt,okex,1,0.001,0.0001
icx_btc,okex,0.1,0.0001,0.00000001
icx_eth,okex,0.1,0.0001,0.00000001
icx_usdt,okex,0.1,0.0001,0.0001
ark_btc,okex,0.1,0.0001,0.00000001
ark_eth,okex,0.1,0.0001,0.00000001
ark_usdt,okex,0.1,0.0001,0.0001
yoyo_btc,okex,10,0.01,0.00000001
yoyo_eth,okex,10,0.01,0.00000001
yoyo_usdt,okex,10,0.01,0.0001
qvt_btc,okex,1,0.001,0.00000001
qvt_eth,okex,1,0.001,0.00000001
qvt_usdt,okex,1,0.001,0.0001
elf_eth,okex,1,0.001,0.00000001
elf_btc,okex,1,0.001,0.00000001
elf_usdt,okex,1,0.001,0.0001
ast_btc,okex,1,0.001,0.00000001
ast_eth,okex,1,0.001,0.00000001
ast_usdt,okex,1,0.001,0.0001
sub_btc,okex,1,0.001,0.00000001
sub_eth,okex,1,0.001,0.00000001
sub_usdt,okex,1,0.001,0.0001
dnt_btc,okex,10,0.01,0.00000001
dnt_eth,okex,10,0.01,0.00000001
dnt_usdt,okex,10,0.01,0.0001
fun_btc,okex,10,0.01,0.00000001
fun_eth,okex,10,0.01,0.00000001
fun_usdt,okex,10,0.01,0.0001
ace_btc,okex,10,0.01,0.00000001
ace_eth,okex,10,0.01,0.00000001
ace_usdt,okex,10,0.01,0.0001
trx_btc,okex,10,0.01,0.00000001
trx_eth,okex,10,0.01,0.00000001
trx_usdt,okex,10,0.01,0.000001
evx_btc,okex,1,0.001,0.00000001
evx_eth,okex,0.1,0.0001,0.00000001
evx_usdt,okex,1,0.001,0.0001
mda_btc,okex,1,0.001,0.00000001
mda_eth,okex,1,0.001,0.00000001
mda_usdt,okex,1,0.001,0.0001
mth_btc,okex,10,0.01,0.00000001
mth_eth,okex,10,0.01,0.00000001
mth_usdt,okex,10,0.01,0.0001
mtl_btc,okex,0.1,0.0001,0.00000001
mtl_eth,okex,0.1,0.0001,0.00000001
mtl_usdt,okex,0.1,0.0001,0.0001
xem_btc,okex,1,0.001,0.00000001
xem_eth,okex,1,0.001,0.00000001
xem_usdt,okex,1,0.001,0.0001
icn_btc,okex,1,0.001,0.00000001
icn_eth,okex,1,0.001,0.00000001
icn_usdt,okex,1,0.001,0.0001
eng_btc,okex,0.1,0.0001,0.00000001
req_btc,okex,1,0.001,0.00000001
oax_btc,okex,1,0.001,0.00000001
dgb_btc,okex,10,0.01,0.00000001
ppt_btc,okex,0.01,0.00001,0.00000001
dgb_eth,okex,10,0.01,0.00000001
dgb_usdt,okex,10,0.01,0.0001
ppt_eth,okex,0.01,0.00001,0.00000001
ppt_usdt,okex,0.01,0.00001,0.0001
oax_eth,okex,1,0.001,0.00000001
oax_usdt,okex,1,0.001,0.0001
